"ID";"ElectDistrict";"Party";"Age";"Gender";"Independent";"Region";"EduLvl";"RegElected";"MP";"EuroMP"
"Jarvinen Aki";"N-Savonia";"M2011";NA;"M";0;"N-Savonia";7;0;0;0
"Jokela Jouni";"Uusimaa";"M2011";NA;"M";0;NA;0;0;0;0
"Kaakkola Marjukka";"Uusimaa";"M2011";NA;"F";0;"Uusimaa";0;0;0;0
"Kaivanto Petri";"Helsinki";"M2011";42;"M";0;"Uusimaa";3;0;0;0
"Kamberg Pentti";"Finland Proper";"M2011";NA;NA;NA;NA;NA;NA;NA;NA
"Karimies Veli";"Tavastia";"M2011";25;"M";0;"Tavastia Proper";3;0;0;0
"Karjalainen Kimmo";"Helsinki";"M2011";35;"M";0;"Uusimaa";6;0;0;0
"Kasurinen Tarja";"N-Savonia";"M2011";45;"F";0;"N-Savonia";4;0;0;0
"Kattilakoski Ilkka-Matti";"Vaasa";"M2011";24;"M";0;"Ostrobothnia";5;0;0;0
"Kaukonen Ida-Emilia";"Finland Proper";"M2011";23;"F";0;"W-Finland";0;0;0;0
"Kelloniemi Kirsikka";"Helsinki";"M2011";40;"F";0;"Uusimaa";4;0;0;0
"Keronen Jiri";"Finland Proper";"M2011";26;"M";0;"W-Finland";3;0;0;0
"Kielosto Samuel";"Uusimaa";"M2011";50;"M";0;"Uusimaa";5;0;0;0
"Kinnunen Hermanni";"Oulu";"M2011";27;"M";0;"N-Ostrobothnia";3;0;0;0
"Klaar Hantta";"Oulu";"M2011";NA;NA;NA;NA;NA;NA;NA;NA
"Klaar Jukka";"Oulu";"M2011";22;"M";0;"N-Ostrobothnia";2;0;0;0
"Koljonen Kimmo";"Tavastia";"M2011";29;"M";0;"Paijat-Hame";0;0;0;0
"Korkman Mikael";"Uusimaa";"M2011";47;"M";0;"Uusimaa";4;0;0;0
"Kuisma Janne";"Tavastia";"M2011";29;"M";0;"Tavastia Proper";2;0;0;0
"Laaksonen Lasse";"Helsinki";"M2011";61;"M";0;"Uusimaa";6;0;0;0
"Laaksonen Ville";"C-Finland";"M2011";23;"M";0;"C-Finland";3;0;0;0
"Lampinen Seppo";"C-Finland";"M2011";NA;NA;NA;NA;NA;NA;NA;NA
"Lavikka Teemu";"Kymi";"M2011";NA;NA;NA;NA;NA;NA;NA;NA
"Lehtipuu Markus";"Kymi";"M2011";48;"M";1;NA;0;0;0;0
"Leino Jari";"Pirkanmaa";"M2011";46;"M";0;"Pirkanmaa";5;0;0;0
"Leponiemi Kai";"Pirkanmaa";"M2011";44;"M";0;"Pirkanmaa";3;0;0;0
"Leppanen Raimo";"Finland Proper";"M2011";NA;NA;NA;NA;NA;NA;NA;NA
"Lintula Oula";"Pirkanmaa";"M2011";31;"M";0;"Pirkanmaa";3;0;0;0
"Lintunen Seppo";"Uusimaa";"M2011";61;"M";0;"Uusimaa";5;0;0;0
"Lipsanen Simo";"S-Savonia";"M2011";20;"M";0;"S-Savonia";3;0;0;0
"Mantyla Hannu";"Tavastia";"M2011";NA;NA;NA;NA;NA;NA;NA;NA
"Mavromichalis Nicolas";"Helsinki";"M2011";NA;NA;NA;NA;NA;NA;NA;NA
"Merikoski Jorma";"Pirkanmaa";"M2011";68;"M";1;"Pirkanmaa";7;0;0;0
"Munne Martti";"Uusimaa";"M2011";29;"M";0;"Uusimaa";5;0;0;0
"Nyyssonen Esa";"N-Savonia";"M2011";29;"M";0;"N-Savonia";3;0;0;0
"Onkamo Sanna";"Uusimaa";"M2011";25;"F";0;"Uusimaa";3;0;0;0
"Papinniemi Antti";"Tavastia";"M2011";NA;NA;NA;NA;NA;NA;NA;NA
"Papinniemi Ilari";"N-Karelia";"M2011";30;"M";0;"N-Karelia";5;0;0;0
"Papinniemi Markku";"Kymi";"M2011";57;"M";0;"S-Karelia";6;1;0;0
"Pasanen Harri";"Pirkanmaa";"M2011";53;"M";0;"Pirkanmaa";2;0;0;0
"Pekkarinen Lauri";"Oulu";"M2011";26;"M";0;"N-Ostrobothnia";3;0;0;0
"Penttila Markku";"Helsinki";"M2011";67;"M";0;"Uusimaa";6;0;0;0
"Pousar Aleksi";"Helsinki";"M2011";20;"M";0;"Uusimaa";3;0;0;0
"Puolakka Ritva";"Oulu";"M2011";58;"F";0;"N-Ostrobothnia";5;0;0;0
"Raitala Juuso";"Oulu";"M2011";26;"M";1;"N-Ostrobothnia";6;0;0;0
"Rasanen Heidi";"Helsinki";"M2011";20;"F";0;"Uusimaa";2;0;0;0
"Roivas Marika";"Pirkanmaa";"M2011";27;"F";0;"Pirkanmaa";5;0;0;0
"Rosenstrom Eerin";"Uusimaa";"M2011";36;"M";0;"Uusimaa";6;0;0;0
"Royhkio Timo";"Uusimaa";"M2011";33;"M";0;"Uusimaa";5;0;0;0
"Siivola Jarno";"Lapland";"M2011";NA;"M";0;"Lapland";2;0;0;0
"Talikainen Kimmo";"Helsinki";"M2011";48;"M";0;"Uusimaa";4;0;0;0
"Valli Jan";"Finland Proper";"M2011";36;"M";0;"W-Finland";5;0;0;0
"Virkamaki Lauri";"Uusimaa";"M2011";25;"M";0;"Uusimaa";3;0;0;0
"Voltti Taneli";"Oulu";"M2011";22;"M";0;"N-Ostrobothnia";0;0;0;0
"Yli-Paavola Jussi";"Uusimaa";"M2011";59;"M";0;"Uusimaa";2;0;0;0
"Aarela Torsti";"Finland Proper";"PS";48;"M";0;"W-Finland";6;1;0;0
"Antila Tomi";"Pirkanmaa";"PS";24;"M";0;"Pirkanmaa";3;0;0;0
"Antinkaapo Juha";"Lapland";"PS";NA;NA;NA;NA;NA;NA;NA;NA
"Anttila Irma";"Satakunta";"PS";56;"F";0;"Satakunta";4;1;0;0
"Bogdanoff Eero";"N-Karelia";"PS";55;"M";0;"N-Karelia";3;1;0;0
"Brelo Jouko";"N-Karelia";"PS";NA;NA;NA;NA;NA;NA;NA;NA
"Eerola Juho";"Kymi";"PS";36;"M";0;"Kymenlaakso";3;1;0;0
"Elo Simon";"Uusimaa";"PS";24;"M";0;"Uusimaa";5;0;0;0
"Elo Timo";"Helsinki";"PS";48;"M";0;"Uusimaa";3;0;0;0
"Elomaa Kike";"Finland Proper";"PS";55;"F";0;"W-Finland";4;0;0;0
"Elovaara Tiina";"Pirkanmaa";"PS";24;"F";0;"Pirkanmaa";5;1;0;0
"Etelaaho Anu";"Uusimaa";"PS";NA;"F";0;"Uusimaa";7;0;0;0
"Forsblom Tuula";"Tavastia";"PS";41;"F";0;"Tavastia Proper";5;0;0;0
"Grohn Marja-Leena";"N-Karelia";"PS";NA;NA;NA;NA;NA;NA;NA;NA
"Haalisto Ilpo";"Finland Proper";"PS";44;"M";0;"W-Finland";7;1;0;0
"Hakkarainen Eija";"Oulu";"PS";50;"F";0;"Kainuu";5;1;0;0
"Hakkarainen Teuvo";"C-Finland";"PS";NA;NA;NA;NA;NA;NA;NA;NA
"Halla-aho Jussi";"Helsinki";"PS";39;"M";0;"Uusimaa";7;1;0;0
"Hamalainen Antti";"N-Savonia";"PS";NA;NA;NA;NA;NA;NA;NA;NA
"Hamalainen Marja";"S-Savonia";"PS";47;"F";0;NA;3;0;0;0
"Hanninen Sirkka";"Helsinki";"PS";53;"F";0;"Uusimaa";6;0;0;0
"Hanweg Harri";"Pirkanmaa";"PS";60;"M";0;"Pirkanmaa";3;1;0;0
"Haro Kari";"Lapland";"PS";56;"M";0;"Lapland";3;0;0;0
"Hassinen Sirpa";"Tavastia";"PS";NA;NA;NA;NA;NA;NA;NA;NA
"Hautamaki Antti";"Finland Proper";"PS";41;"M";0;"W-Finland";3;0;0;0
"Havansi Erkki";"Uusimaa";"PS";69;"M";0;"Uusimaa";7;0;0;0
"Heikkila Lauri";"Finland Proper";"PS";53;"M";0;"W-Finland";7;1;0;0
"Heiskanen Hannu";"N-Savonia";"PS";47;"M";0;"N-Savonia";4;0;0;0
"Hemanus Klaus";"Finland Proper";"PS";56;"M";0;"W-Finland";4;1;0;0
"Hirvisaari James";"Tavastia";"PS";50;"M";0;"Paijat-Hame";3;1;0;0
"Hongisto Reijo";"Vaasa";"PS";49;"M";0;"Ostrobothnia";4;1;0;0
"Huhta Seppo";"Uusimaa";"PS";57;"M";0;"Uusimaa";6;1;0;0
"Huhtasaari Laura";"Satakunta";"PS";32;"F";0;"Satakunta";6;0;0;0
"Huohvanainen Kauko";"N-Karelia";"PS";NA;NA;NA;NA;NA;NA;NA;NA
"Hursti Rene";"Helsinki";"PS";NA;NA;NA;NA;NA;NA;NA;NA
"Huru Nina";"Helsinki";"PS";NA;"F";1;NA;4;1;0;0
"Hyokki Sirpa";"N-Karelia";"PS";NA;"F";0;"N-Karelia";6;0;0;0
"Hyttinen Mirva";"N-Karelia";"PS";49;"F";0;"N-Karelia";4;0;0;0
"Ilmarinen Kristiina";"Helsinki";"PS";47;"F";0;"Uusimaa";6;0;0;0
"Immonen Olli";"Oulu";"PS";25;"M";0;"N-Ostrobothnia";3;1;0;0
"Isokangas Tuomo";"Pirkanmaa";"PS";36;"M";0;"Pirkanmaa";4;1;0;0
"Isoniemi Veikko";"N-Karelia";"PS";62;"M";0;"N-Karelia";3;1;0;0
"Jaaskelainen Pietari";"Uusimaa";"PS";63;"M";0;"Uusimaa";6;1;1;0
"Jaatinen Hannele";"C-Finland";"PS";54;"F";0;"C-Finland";4;1;0;0
"Jalonen Ari";"Satakunta";"PS";36;"M";0;"Satakunta";4;1;0;0
"Jamsa-Uusitalo Vaili";"Oulu";"PS";NA;NA;NA;NA;NA;NA;NA;NA
"Jarvela Tero";"Satakunta";"PS";42;"M";0;"Satakunta";4;1;0;0
"Jarvinen Hannu";"Kymi";"PS";55;"M";0;NA;0;1;0;0
"Jokela Laura";"Helsinki";"PS";19;"F";0;NA;0;0;0;0
"Joutsenlahti Anssi";"Satakunta";"PS";67;"M";0;"Satakunta";6;1;0;0
"Juntunen Jarmo";"Lapland";"PS";55;"M";0;"Lapland";0;0;0;0
